Pokemon,Game,Area,Location
Dragonite,Violet,Paldea,5☆
Dragonite,Violet,Paldea,6☆
Drakloak,Shield,Crown Tundra,Den 182
Drakloak,Shield,Galar,Den 38
Drakloak,Shield,Galar,Den 64
Drakloak,Sword,Crown Tundra,Den 182
Drakloak,Sword,Galar,Den 38
Drakloak,Sword,Galar,Den 64
Drakloak,Violet,Paldea,4☆
Drampa,Shield,Crown Tundra,Den 185
Drampa,Shield,Galar,Den 37
Drampa,Shield,Galar,Den 64
Drampa,Shield,Isle of Armor,Den 132
Drapion,Shield,Galar,Den 29
Drapion,Shield,Galar,Den 60
Drapion,Shield,Galar,Den 86
Drapion,Shield,Isle of Armor,Den 119
Drapion,Shield,Isle of Armor,Den 120
Drapion,Shield,Isle of Armor,Den 121
Drapion,Sword,Galar,Den 29
Drapion,Sword,Galar,Den 60
Drapion,Sword,Galar,Den 86
Drapion,Sword,Isle of Armor,Den 119
Drapion,Sword,Isle of Armor,Den 120
Drapion,Sword,Isle of Armor,Den 121
Dratini,Scarlet,Paldea,3☆
Dratini,Shield,Crown Tundra,Den 184
Dratini,Sword,Crown Tundra,Den 184
Dratini,Violet,Paldea,3☆
Drednaw,Scarlet,Paldea,4☆
Drednaw,Shield,Galar,Den 42
Drednaw,Shield,Galar,Den 78
Drednaw,Shield,Galar,Den 8
Drednaw,Shield,Galar,Den 9
Drednaw,Shield,Isle of Armor,Den 135
Drednaw,Shield,Isle of Armor,Den 148
Drednaw,Sword,Galar,Den 42
Drednaw,Sword,Galar,Den 78
Drednaw,Sword,Galar,Den 8
Drednaw,Sword,Galar,Den 9
Drednaw,Sword,Isle of Armor,Den 135
Drednaw,Sword,Isle of Armor,Den 148
Drednaw,Violet,Paldea,4☆
Dreepy,Shield,Crown Tundra,Den 182
Dreepy,Shield,Crown Tundra,Den 183
Dreepy,Shield,Galar,Den 38
Dreepy,Shield,Galar,Den 64
Dreepy,Sword,Crown Tundra,Den 182
Dreepy,Sword,Crown Tundra,Den 183
Dreepy,Sword,Galar,Den 38
Dreepy,Sword,Galar,Den 64
Dreepy,Violet,Paldea,3☆
Drifblim,Scarlet,Paldea,4☆
Drifblim,Scarlet,Paldea,5☆
Drifblim,Shield,Galar,Den 32
Drifblim,Shield,Galar,Den 47
Drifblim,Shield,Galar,Den 6
Drifblim,Shield,Isle of Armor,Den 127
Drifblim,Shield,Isle of Armor,Den 128
Drifblim,Sword,Galar,Den 32
Drifblim,Sword,Galar,Den 47
Drifblim,Sword,Galar,Den 6
Drifblim,Sword,Isle of Armor,Den 127
Drifblim,Sword,Isle of Armor,Den 128
Drifloon,Scarlet,Paldea,2☆
Drifloon,Shield,Galar,Den 32
Drifloon,Shield,Galar,Den 47
Drifloon,Shield,Galar,Den 6
Drifloon,Shield,Isle of Armor,Den 127
Drifloon,Shield,Isle of Armor,Den 128
Drifloon,Sword,Galar,Den 32
Drifloon,Sword,Galar,Den 47
Drifloon,Sword,Galar,Den 6
Drifloon,Sword,Isle of Armor,Den 127
Drifloon,Sword,Isle of Armor,Den 128
Drilbur,Scarlet,Terarium,3☆
Drilbur,Shield,Galar,Den 16
Drilbur,Shield,Isle of Armor,Den 150
Drilbur,Sword,Galar,Den 16
Drilbur,Sword,Isle of Armor,Den 150
Drilbur,Violet,Terarium,3☆
Drowzee,Scarlet,Paldea,1☆
Drowzee,Violet,Paldea,1☆
Druddigon,Shield,Crown Tundra,Den 184
Druddigon,Shield,Isle of Armor,Den 131
Druddigon,Shield,Isle of Armor,Den 132
Druddigon,Sword,Crown Tundra,Den 184
Druddigon,Sword,Isle of Armor,Den 131
Druddigon,Sword,Isle of Armor,Den 132
Dubwool,Shield,Crown Tundra,Den 159
Dubwool,Shield,Galar,Den 40
Dubwool,Shield,Galar,Den 65
Dubwool,Shield,Isle of Armor,Den 100
Dubwool,Shield,Isle of Armor,Den 158
Dubwool,Sword,Crown Tundra,Den 159
Dubwool,Sword,Galar,Den 40
Dubwool,Sword,Galar,Den 65
Dubwool,Sword,Isle of Armor,Den 100
Dubwool,Sword,Isle of Armor,Den 158
Ducklett,Scarlet,Kitakami,1☆
Ducklett,Violet,Kitakami,1☆
Dudunsparce,Scarlet,Paldea,4☆
Dudunsparce,Violet,Paldea,4☆
Dugtrio,Scarlet,Paldea,4☆
Dugtrio,Scarlet,Terarium,6☆
Dugtrio,Shield,Galar,Den 16
Dugtrio,Sword,Galar,Den 16
Dugtrio,Violet,Paldea,4☆
Dugtrio,Violet,Terarium,6☆
Dunsparce,Scarlet,Paldea,1☆
Dunsparce,Scarlet,Paldea,3☆
Dunsparce,Shield,Isle of Armor,Den 100
Dunsparce,Shield,Isle of Armor,Den 99
Dunsparce,Sword,Isle of Armor,Den 100
Dunsparce,Sword,Isle of Armor,Den 99
Dunsparce,Violet,Paldea,1☆
Dunsparce,Violet,Paldea,3☆
Duosion,Scarlet,Terarium,3☆
Duosion,Shield,Crown Tundra,Den 178
Duosion,Shield,Galar,Den 2
Duosion,Violet,Terarium,3☆
Duraludon,Scarlet,Terarium,5☆
Duraludon,Scarlet,Terarium,6☆
Duraludon,Shield,Crown Tundra,Den 185
Duraludon,Shield,Galar,Den 49
Duraludon,Shield,Galar,Den 84
Duraludon,Shield,Galar,Den 85
Duraludon,Sword,Crown Tundra,Den 185
Duraludon,Sword,Galar,Den 49
Duraludon,Sword,Galar,Den 84
Duraludon,Sword,Galar,Den 85
Duraludon,Violet,Terarium,5☆
Duraludon,Violet,Terarium,6☆
Durant,Shield,Crown Tundra,Den 188
Durant,Shield,Crown Tundra,Den 189
Durant,Shield,Galar,Den 4
Durant,Shield,Galar,Den 45
Durant,Shield,Galar,Den 84
Durant,Sword,Crown Tundra,Den 188
Durant,Sword,Crown Tundra,Den 189
Durant,Sword,Galar,Den 4
Durant,Sword,Galar,Den 45
Durant,Sword,Galar,Den 84
Dusclops,Scarlet,Kitakami,4☆
Dusclops,Shield,Galar,Den 43
Dusclops,Shield,Galar,Den 6
Dusclops,Sword,Galar,Den 43
Dusclops,Sword,Galar,Den 6
Dusclops,Violet,Kitakami,4☆
Dusknoir,Scarlet,Kitakami,5☆
Dusknoir,Scarlet,Kitakami,6☆
Dusknoir,Shield,Galar,Den 43
Dusknoir,Sword,Galar,Den 43
Dusknoir,Violet,Kitakami,5☆
Dusknoir,Violet,Kitakami,6☆
Duskull,Scarlet,Kitakami,2☆
Duskull,Shield,Galar,Den 43
Duskull,Shield,Galar,Den 6
Duskull,Sword,Galar,Den 43
Duskull,Sword,Galar,Den 6
Duskull,Violet,Kitakami,2☆
Dwebble,Shield,Galar,Den 15
Dwebble,Shield,Galar,Den 3
Dwebble,Shield,Galar,Den 46
Dwebble,Shield,Galar,Den 51
Dwebble,Shield,Galar,Den 90
Dwebble,Shield,Galar,Den 92
Dwebble,Shield,Isle of Armor,Den 109
Dwebble,Sword,Galar,Den 15
Dwebble,Sword,Galar,Den 3
Dwebble,Sword,Galar,Den 46
Dwebble,Sword,Galar,Den 51
Dwebble,Sword,Galar,Den 83
Dwebble,Sword,Galar,Den 90
Dwebble,Sword,Galar,Den 92
Dwebble,Sword,Isle of Armor,Den 109
Eelektrik,Scarlet,Paldea,4☆
Eelektrik,Violet,Paldea,4☆
Eelektross,Scarlet,Paldea,5☆
Eelektross,Violet,Paldea,5☆
Eevee,Scarlet,Paldea,3☆
Eevee,Scarlet,Paldea,5☆
Eevee,Shield,Crown Tundra,Den 194
Eevee,Shield,Crown Tundra,Den 195
Eevee,Shield,Galar,Den 65
Eevee,Sword,Crown Tundra,Den 194
Eevee,Sword,Crown Tundra,Den 195
Eevee,Sword,Galar,Den 65
Eevee,Violet,Paldea,3☆
Eevee,Violet,Paldea,5☆
Eiscue,Shield,Crown Tundra,Den 170
Eiscue,Shield,Galar,Den 23
Eiscue,Shield,Galar,Den 55
Eiscue,Shield,Galar,Den 83
Eiscue,Violet,Paldea,4☆
Ekans,Scarlet,Kitakami,1☆
Ekans,Scarlet,Kitakami,3☆
Ekans,Violet,Kitakami,1☆
Ekans,Violet,Kitakami,3☆
Eldegoss,Shield,Crown Tundra,Den 166
Eldegoss,Shield,Crown Tundra,Den 167
Eldegoss,Shield,Galar,Den 27
Eldegoss,Shield,Galar,Den 58
Eldegoss,Shield,Galar,Den 59
Eldegoss,Shield,Galar,Den 70
Eldegoss,Shield,Galar,Den 79
Eldegoss,Sword,Crown Tundra,Den 166
Eldegoss,Sword,Crown Tundra,Den 167
Eldegoss,Sword,Galar,Den 27
Eldegoss,Sword,Galar,Den 58
Eldegoss,Sword,Galar,Den 59
Eldegoss,Sword,Galar,Den 70
Eldegoss,Sword,Galar,Den 79
Electabuzz,Scarlet,Terarium,4☆
Electabuzz,Shield,Crown Tundra,Den 164
Electabuzz,Shield,Crown Tundra,Den 165
Electabuzz,Sword,Crown Tundra,Den 164
Electabuzz,Sword,Crown Tundra,Den 165
Electabuzz,Violet,Terarium,4☆
Electivire,Scarlet,Terarium,5☆
Electivire,Scarlet,Terarium,6☆
Electivire,Shield,Crown Tundra,Den 164
Electivire,Shield,Crown Tundra,Den 165
Electivire,Sword,Crown Tundra,Den 164
Electivire,Sword,Crown Tundra,Den 165
Electivire,Violet,Terarium,5☆
Electivire,Violet,Terarium,6☆
Electrike,Shield,Galar,Den 24
Electrike,Shield,Galar,Den 57
Electrike,Sword,Galar,Den 24
Electrike,Sword,Galar,Den 57
Electrode,Scarlet,Paldea,4☆
Electrode,Violet,Paldea,4☆
Elekid,Scarlet,Terarium,2☆
Elekid,Shield,Crown Tundra,Den 164
Elekid,Shield,Crown Tundra,Den 165
Elekid,Sword,Crown Tundra,Den 164
Elekid,Sword,Crown Tundra,Den 165
Elekid,Violet,Terarium,2☆
Elgyem,Shield,Galar,Den 2
Elgyem,Shield,Isle of Armor,Den 118
Elgyem,Sword,Galar,Den 2
Elgyem,Sword,Isle of Armor,Den 118
Emolga,Shield,Isle of Armor,Den 107
Emolga,Shield,Isle of Armor,Den 108
Emolga,Sword,Isle of Armor,Den 107
Emolga,Sword,Isle of Armor,Den 108
Escavalier,Shield,Isle of Armor,Den 110
Escavalier,Sword,Galar,Den 46
Escavalier,Sword,Galar,Den 90
Escavalier,Sword,Galar,Den 92
Escavalier,Sword,Isle of Armor,Den 110
Espathra,Scarlet,Paldea,4☆
Espathra,Violet,Paldea,4☆
Espeon,Scarlet,Paldea,6☆
Espeon,Shield,Crown Tundra,Den 194
Espeon,Shield,Crown Tundra,Den 195
Espeon,Shield,Galar,Den 68
Espeon,Sword,Crown Tundra,Den 194
Espeon,Sword,Crown Tundra,Den 195
Espeon,Sword,Galar,Den 68
Espeon,Violet,Paldea,6☆
Espurr,Scarlet,Terarium,1☆
Espurr,Shield,Galar,Den 2
Espurr,Sword,Galar,Den 2
Espurr,Violet,Terarium,1☆
Excadrill,Scarlet,Terarium,5☆
Excadrill,Scarlet,Terarium,6☆
Excadrill,Shield,Galar,Den 16
Excadrill,Shield,Isle of Armor,Den 150
Excadrill,Sword,Galar,Den 16
Excadrill,Sword,Isle of Armor,Den 150
Excadrill,Violet,Terarium,5☆
Excadrill,Violet,Terarium,6☆
Exeggcute,Scarlet,Terarium,1☆
Exeggcute,Shield,Isle of Armor,Den 117
Exeggcute,Shield,Isle of Armor,Den 145
Exeggcute,Shield,Isle of Armor,Den 154
Exeggcute,Sword,Isle of Armor,Den 117
Exeggcute,Sword,Isle of Armor,Den 145
Exeggcute,Sword,Isle of Armor,Den 154
Exeggcute,Violet,Terarium,1☆
Exeggutor,Scarlet,Terarium,5☆
Exeggutor,Scarlet,Terarium,6☆
Exeggutor,Shield,Isle of Armor,Den 117
Exeggutor,Shield,Isle of Armor,Den 145
Exeggutor,Shield,Isle of Armor,Den 154
Exeggutor,Sword,Isle of Armor,Den 117
Exeggutor,Sword,Isle of Armor,Den 145
Exeggutor,Sword,Isle of Armor,Den 154
Exeggutor,Violet,Terarium,5☆
Exeggutor,Violet,Terarium,6☆
Exploud,Shield,Isle of Armor,Den 101
Exploud,Shield,Isle of Armor,Den 102
Exploud,Sword,Isle of Armor,Den 101
Exploud,Sword,Isle of Armor,Den 102
Falinks,Scarlet,Paldea,4☆
Falinks,Scarlet,Paldea,5☆
Falinks,Shield,Crown Tundra,Den 173
Falinks,Shield,Galar,Den 10
Falinks,Shield,Galar,Den 48
Falinks,Shield,Isle of Armor,Den 124
Falinks,Sword,Crown Tundra,Den 173
Falinks,Sword,Galar,Den 10
Falinks,Sword,Galar,Den 48
Falinks,Sword,Galar,Den 81
Falinks,Sword,Isle of Armor,Den 124
Falinks,Violet,Paldea,4☆
Falinks,Violet,Paldea,5☆
Farfetch'd,Sword,Crown Tundra,Den 173
Farfetch'd,Sword,Galar,Den 10
Farfetch'd,Sword,Galar,Den 81
Farigiraf,Scarlet,Paldea,4☆
Farigiraf,Scarlet,Paldea,6☆
Farigiraf,Violet,Paldea,4☆
Farigiraf,Violet,Paldea,6☆
Feebas,Scarlet,Kitakami,2☆
Feebas,Scarlet,Kitakami,3☆
Feebas,Shield,Crown Tundra,Den 162
Feebas,Shield,Crown Tundra,Den 163
Feebas,Shield,Galar,Den 44
Feebas,Sword,Crown Tundra,Den 162
Feebas,Sword,Crown Tundra,Den 163
Feebas,Sword,Galar,Den 44
Feebas,Violet,Kitakami,2☆
Feebas,Violet,Kitakami,3☆
Ferroseed,Shield,Galar,Den 11
Ferroseed,Shield,Galar,Den 12
Ferroseed,Shield,Galar,Den 27
Ferroseed,Shield,Galar,Den 49
Ferroseed,Shield,Galar,Den 58
Ferroseed,Shield,Galar,Den 70
Ferroseed,Shield,Galar,Den 79
Ferroseed,Shield,Galar,Den 85
Ferroseed,Sword,Galar,Den 11
Ferroseed,Sword,Galar,Den 12
Ferroseed,Sword,Galar,Den 27
Ferroseed,Sword,Galar,Den 49
Ferroseed,Sword,Galar,Den 58
Ferroseed,Sword,Galar,Den 70
Ferroseed,Sword,Galar,Den 79
Ferroseed,Sword,Galar,Den 85
Ferrothorn,Shield,Crown Tundra,Den 166
Ferrothorn,Shield,Galar,Den 12
Ferrothorn,Shield,Galar,Den 27
Ferrothorn,Shield,Galar,Den 49
Ferrothorn,Shield,Galar,Den 58
Ferrothorn,Shield,Galar,Den 70
Ferrothorn,Shield,Galar,Den 79
Ferrothorn,Shield,Galar,Den 85
Ferrothorn,Sword,Crown Tundra,Den 166
Ferrothorn,Sword,Galar,Den 12
Ferrothorn,Sword,Galar,Den 27
Ferrothorn,Sword,Galar,Den 49
Ferrothorn,Sword,Galar,Den 58
Ferrothorn,Sword,Galar,Den 70
Ferrothorn,Sword,Galar,Den 79
Ferrothorn,Sword,Galar,Den 85
Fidough,Scarlet,Paldea,1☆
Fidough,Violet,Paldea,1☆
Finizen,Scarlet,Paldea,3☆
Finizen,Violet,Paldea,3☆
Finneon,Scarlet,Paldea,1☆
Finneon,Scarlet,Paldea,2☆
Finneon,Violet,Paldea,1☆
Finneon,Violet,Paldea,2☆
Flaaffy,Scarlet,Paldea,3☆
Flaaffy,Violet,Paldea,3☆
Flabébé,Scarlet,Paldea,1☆
Flabébé,Violet,Paldea,1☆
Flamigo,Scarlet,Paldea,4☆
Flamigo,Violet,Paldea,4☆
Flapple,Scarlet,Paldea,5☆
Flapple,Sword,Galar,Den 27
Flapple,Sword,Galar,Den 38
Flapple,Sword,Galar,Den 58
Flapple,Sword,Galar,Den 79
Flapple,Sword,Isle of Armor,Den 131
Flapple,Sword,Isle of Armor,Den 151
Flapple,Violet,Paldea,5☆
Flareon,Scarlet,Paldea,6☆
Flareon,Shield,Crown Tundra,Den 194
Flareon,Shield,Crown Tundra,Den 195
Flareon,Shield,Galar,Den 71
Flareon,Sword,Crown Tundra,Den 194
Flareon,Sword,Crown Tundra,Den 195
Flareon,Sword,Galar,Den 71
Flareon,Violet,Paldea,6☆
Fletchinder,Scarlet,Paldea,3☆
Fletchinder,Shield,Isle of Armor,Den 107
Fletchinder,Shield,Isle of Armor,Den 113
Fletchinder,Sword,Isle of Armor,Den 107
Fletchinder,Sword,Isle of Armor,Den 113
Fletchinder,Violet,Paldea,3☆
Fletchling,Scarlet,Paldea,2☆
Fletchling,Shield,Isle of Armor,Den 107
Fletchling,Shield,Isle of Armor,Den 113
Fletchling,Sword,Isle of Armor,Den 107
Fletchling,Sword,Isle of Armor,Den 113
Fletchling,Violet,Paldea,2☆
Flittle,Scarlet,Paldea,1☆
Flittle,Violet,Paldea,1☆
Floatzel,Scarlet,Paldea,4☆
Floatzel,Violet,Paldea,4☆
Florges,Scarlet,Paldea,5☆
Florges,Violet,Paldea,5☆
Flygon,Scarlet,Terarium,5☆
Flygon,Scarlet,Terarium,6☆
Flygon,Shield,Galar,Den 17
Flygon,Shield,Galar,Den 37
Flygon,Shield,Galar,Den 64
Flygon,Shield,Isle of Armor,Den 104
Flygon,Sword,Galar,Den 17
Flygon,Sword,Galar,Den 37
Flygon,Sword,Isle of Armor,Den 104
Flygon,Violet,Terarium,5☆
Flygon,Violet,Terarium,6☆
Fomantis,Scarlet,Paldea,1☆
Fomantis,Shield,Isle of Armor,Den 111
Fomantis,Shield,Isle of Armor,Den 112
Fomantis,Shield,Isle of Armor,Den 154
Fomantis,Sword,Isle of Armor,Den 111
Fomantis,Sword,Isle of Armor,Den 112
Fomantis,Sword,Isle of Armor,Den 154
Fomantis,Violet,Paldea,1☆
Foongus,Scarlet,Paldea,2☆
Foongus,Shield,Isle of Armor,Den 111
Foongus,Shield,Isle of Armor,Den 112
Foongus,Shield,Isle of Armor,Den 145
Foongus,Shield,Isle of Armor,Den 154
Foongus,Sword,Isle of Armor,Den 111
Foongus,Sword,Isle of Armor,Den 112
Foongus,Sword,Isle of Armor,Den 145
Foongus,Sword,Isle of Armor,Den 154
Foongus,Violet,Paldea,2☆
Forretress,Scarlet,Paldea,4☆
Forretress,Violet,Paldea,4☆
Fraxure,Scarlet,Paldea,4☆
Fraxure,Shield,Galar,Den 37
Fraxure,Sword,Galar,Den 37
Fraxure,Sword,Galar,Den 64
Fraxure,Violet,Paldea,4☆
Frigibax,Scarlet,Paldea,3☆
Frigibax,Violet,Paldea,3☆
Frillish,Shield,Galar,Den 6
Frillish,Shield,Isle of Armor,Den 127
Frillish,Shield,Isle of Armor,Den 128
Frillish,Sword,Galar,Den 6
Frillish,Sword,Isle of Armor,Den 127
Frillish,Sword,Isle of Armor,Den 128
Froslass,Scarlet,Paldea,5☆
Froslass,Shield,Crown Tundra,Den 182
Froslass,Shield,Galar,Den 23
Froslass,Shield,Galar,Den 73
Froslass,Sword,Crown Tundra,Den 182
Froslass,Sword,Galar,Den 23
Froslass,Sword,Galar,Den 73
Froslass,Violet,Paldea,5☆
Frosmoth,Scarlet,Paldea,4☆
Frosmoth,Scarlet,Paldea,6☆
Frosmoth,Shield,Crown Tundra,Den 168
Frosmoth,Shield,Crown Tundra,Den 169
Frosmoth,Shield,Galar,Den 22
Frosmoth,Shield,Galar,Den 23
Frosmoth,Shield,Galar,Den 73
Frosmoth,Sword,Crown Tundra,Den 168
Frosmoth,Sword,Crown Tundra,Den 169
Frosmoth,Sword,Galar,Den 22
Frosmoth,Sword,Galar,Den 23
Frosmoth,Sword,Galar,Den 73
Frosmoth,Violet,Paldea,4☆
Frosmoth,Violet,Paldea,6☆
Furret,Scarlet,Kitakami,3☆
Furret,Scarlet,Kitakami,4☆
Furret,Violet,Kitakami,3☆
Furret,Violet,Kitakami,4☆
Gabite,Scarlet,Paldea,4☆
Gabite,Shield,Crown Tundra,Den 184
Gabite,Shield,Crown Tundra,Den 185
Gabite,Violet,Paldea,4☆
Gallade,Scarlet,Paldea,5☆
Gallade,Scarlet,Paldea,6☆
Gallade,Shield,Galar,Den 48
Gallade,Sword,Galar,Den 48
Gallade,Sword,Galar,Den 81
Gallade,Violet,Paldea,5☆
Gallade,Violet,Paldea,6☆
Galvantula,Scarlet,Terarium,4☆
Galvantula,Shield,Crown Tundra,Den 164
Galvantula,Shield,Crown Tundra,Den 165
Galvantula,Shield,Galar,Den 24
Galvantula,Shield,Galar,Den 4
Galvantula,Shield,Galar,Den 5
Galvantula,Shield,Galar,Den 56
Galvantula,Shield,Isle of Armor,Den 149
Galvantula,Sword,Crown Tundra,Den 164
Galvantula,Sword,Crown Tundra,Den 165
Galvantula,Sword,Galar,Den 24
Galvantula,Sword,Galar,Den 4
Galvantula,Sword,Galar,Den 5
Galvantula,Sword,Galar,Den 56
Galvantula,Sword,Isle of Armor,Den 149
Galvantula,Violet,Terarium,4☆
Garbodor,Shield,Crown Tundra,Den 175
Garbodor,Shield,Galar,Den 29
Garbodor,Shield,Galar,Den 60
Garbodor,Shield,Galar,Den 86
Garbodor,Sword,Crown Tundra,Den 175
Garbodor,Sword,Galar,Den 29
Garbodor,Sword,Galar,Den 60
Garbodor,Sword,Galar,Den 86
Garchomp,Scarlet,Paldea,5☆
Garchomp,Scarlet,Paldea,6☆
Garchomp,Shield,Crown Tundra,Den 184
Garchomp,Shield,Crown Tundra,Den 185
Garchomp,Violet,Paldea,5☆
Garchomp,Violet,Paldea,6☆
Gardevoir,Scarlet,Paldea,5☆
Gardevoir,Scarlet,Paldea,6☆
Gardevoir,Shield,Galar,Den 2
Gardevoir,Shield,Galar,Den 34
Gardevoir,Shield,Galar,Den 50
Gardevoir,Shield,Galar,Den 62
Gardevoir,Shield,Galar,Den 74
Gardevoir,Shield,Galar,Den 82
Gardevoir,Shield,Galar,Den 87
Gardevoir,Shield,Isle of Armor,Den 117
Gardevoir,Shield,Isle of Armor,Den 125
Gardevoir,Shield,Isle of Armor,Den 126
Gardevoir,Sword,Galar,Den 2
Gardevoir,Sword,Galar,Den 34
Gardevoir,Sword,Galar,Den 50
Gardevoir,Sword,Galar,Den 62
Gardevoir,Sword,Galar,Den 74
Gardevoir,Sword,Galar,Den 82
Gardevoir,Sword,Galar,Den 87
Gardevoir,Sword,Isle of Armor,Den 117
Gardevoir,Sword,Isle of Armor,Den 125
Gardevoir,Sword,Isle of Armor,Den 126
Gardevoir,Violet,Paldea,5☆
Gardevoir,Violet,Paldea,6☆
Garganacl,Scarlet,Paldea,5☆
Garganacl,Scarlet,Paldea,6☆
Garganacl,Violet,Paldea,5☆
Garganacl,Violet,Paldea,6☆
Gastly,Scarlet,Paldea,2☆
Gastly,Shield,Galar,Den 30
Gastly,Shield,Galar,Den 43
Gastly,Shield,Galar,Den 6
Gastly,Shield,Galar,Den 81
Gastly,Sword,Galar,Den 30
Gastly,Sword,Galar,Den 43
Gastly,Sword,Galar,Den 6
Gastly,Violet,Paldea,2☆
Gastrodon,Scarlet,Paldea,4☆
Gastrodon,Shield,Galar,Den 42
Gastrodon,Shield,Galar,Den 52
Gastrodon,Shield,Galar,Den 78
Gastrodon,Shield,Galar,Den 8
Gastrodon,Shield,Galar,Den 93
Gastrodon,Sword,Galar,Den 42
Gastrodon,Sword,Galar,Den 52
Gastrodon,Sword,Galar,Den 78
Gastrodon,Sword,Galar,Den 8
Gastrodon,Sword,Galar,Den 93
Gastrodon,Violet,Paldea,4☆
Gengar,Scarlet,Paldea,5☆
Gengar,Scarlet,Paldea,6☆
Gengar,Shield,Crown Tundra,Den 183
Gengar,Shield,Galar,Den 43
Gengar,Shield,Galar,Den 81
Gengar,Sword,Crown Tundra,Den 183
Gengar,Sword,Galar,Den 43
Gengar,Violet,Paldea,5☆
Gengar,Violet,Paldea,6☆
Geodude,Scarlet,Kitakami,1☆
Geodude,Scarlet,Terarium,3☆
Geodude,Violet,Kitakami,1☆
Geodude,Violet,Terarium,3☆
Gible,Scarlet,Paldea,3☆
Gible,Shield,Crown Tundra,Den 184
Gible,Shield,Crown Tundra,Den 185
Gible,Violet,Paldea,3☆
Gigalith,Shield,Galar,Den 15
Gigalith,Shield,Galar,Den 3
Gigalith,Shield,Isle of Armor,Den 115
Gigalith,Shield,Isle of Armor,Den 116
Gigalith,Sword,Galar,Den 15
Gigalith,Sword,Galar,Den 3
Gigalith,Sword,Isle of Armor,Den 115
Gigalith,Sword,Isle of Armor,Den 116
Girafarig,Scarlet,Paldea,3☆
Girafarig,Violet,Paldea,3☆
Glaceon,Scarlet,Paldea,6☆
Glaceon,Shield,Crown Tundra,Den 194
Glaceon,Shield,Crown Tundra,Den 195
Glaceon,Shield,Galar,Den 73
Glaceon,Sword,Crown Tundra,Den 194
Glaceon,Sword,Crown Tundra,Den 195
Glaceon,Sword,Galar,Den 73
Glaceon,Violet,Paldea,6☆
Glalie,Scarlet,Paldea,5☆
Glalie,Shield,Crown Tundra,Den 168
Glalie,Shield,Crown Tundra,Den 169
Glalie,Shield,Crown Tundra,Den 182
Glalie,Shield,Galar,Den 23
Glalie,Shield,Galar,Den 55
Glalie,Shield,Galar,Den 83
Glalie,Sword,Crown Tundra,Den 168
Glalie,Sword,Crown Tundra,Den 169
Glalie,Sword,Crown Tundra,Den 182
Glalie,Sword,Galar,Den 23
Glalie,Sword,Galar,Den 55
Glalie,Violet,Paldea,5☆
Gligar,Scarlet,Kitakami,3☆
Glimmet,Scarlet,Paldea,3☆
Glimmet,Violet,Paldea,3☆
Glimmora,Scarlet,Paldea,5☆
Glimmora,Scarlet,Paldea,6☆
Glimmora,Violet,Paldea,5☆
Glimmora,Violet,Paldea,6☆
Gliscor,Scarlet,Kitakami,5☆
Gliscor,Scarlet,Kitakami,6☆
Gloom,Scarlet,Terarium,3☆
Gloom,Shield,Galar,Den 26
Gloom,Shield,Galar,Den 30
Gloom,Sword,Galar,Den 26
Gloom,Sword,Galar,Den 30
Gloom,Violet,Terarium,3☆
Gogoat,Scarlet,Paldea,4☆
Gogoat,Violet,Paldea,4☆
Golbat,Shield,Crown Tundra,Den 174
Golbat,Shield,Crown Tundra,Den 175
Golbat,Shield,Crown Tundra,Den 176
Golbat,Shield,Crown Tundra,Den 177
Golbat,Sword,Crown Tundra,Den 174
Golbat,Sword,Crown Tundra,Den 175
Golbat,Sword,Crown Tundra,Den 176
Golbat,Sword,Crown Tundra,Den 177
Goldeen,Shield,Isle of Armor,Den 133
Goldeen,Shield,Isle of Armor,Den 134
Goldeen,Sword,Isle of Armor,Den 133
Goldeen,Sword,Isle of Armor,Den 134
Golduck,Scarlet,Paldea,4☆
Golduck,Shield,Isle of Armor,Den 135
Golduck,Shield,Isle of Armor,Den 136
Golduck,Shield,Isle of Armor,Den 148
Golduck,Sword,Isle of Armor,Den 135
Golduck,Sword,Isle of Armor,Den 136
Golduck,Sword,Isle of Armor,Den 148
Golduck,Violet,Paldea,4☆
Golem,Scarlet,Kitakami,5☆
Golem,Scarlet,Kitakami,6☆
Golem,Scarlet,Terarium,6☆
Golem,Violet,Kitakami,5☆
Golem,Violet,Kitakami,6☆
Golem,Violet,Terarium,6☆
Golett,Scarlet,Terarium,3☆
Golett,Shield,Crown Tundra,Den 172
Golett,Shield,Galar,Den 52
Golett,Shield,Galar,Den 93
Golett,Sword,Crown Tundra,Den 172
Golett,Sword,Galar,Den 52
Golett,Sword,Galar,Den 93
Golett,Violet,Terarium,3☆
Golisopod,Shield,Galar,Den 46
Golisopod,Shield,Galar,Den 90
Golisopod,Shield,Galar,Den 92
Golisopod,Sword,Galar,Den 46
Golisopod,Sword,Galar,Den 90
Golisopod,Sword,Galar,Den 92
Golurk,Scarlet,Terarium,5☆
Golurk,Scarlet,Terarium,6☆
Golurk,Shield,Crown Tundra,Den 172
Golurk,Shield,Crown Tundra,Den 173
Golurk,Shield,Galar,Den 52
Golurk,Shield,Galar,Den 93
Golurk,Shield,Isle of Armor,Den 104
Golurk,Sword,Crown Tundra,Den 172
Golurk,Sword,Crown Tundra,Den 173
Golurk,Sword,Galar,Den 52
Golurk,Sword,Galar,Den 93
Golurk,Sword,Isle of Armor,Den 104
Golurk,Violet,Terarium,5☆
